,,Store,State
1029,,1029,Saxony-Anhalt
1030,,1030,Saxony-Anhalt
1031,,1031,North Rhine-Westphalia
1032,,1032,Saxony-Anhalt
1033,,1033,Berlin
1034,,1034,Saxony
1035,,1035,Saxony
1036,,1036,North Rhine-Westphalia
1037,,1037,North Rhine-Westphalia
1038,,1038,Bavaria
1039,,1039,North Rhine-Westphalia
1040,,1040,North Rhine-Westphalia
1041,,1041,Bavaria
1042,,1042,North Rhine-Westphalia
1043,,1043,Saxony-Anhalt
1044,,1044,Baden-Württemberg
1045,,1045,Schleswig-Holstein
1046,,1046,Saxony-Anhalt
1047,,1047,North Rhine-Westphalia
1048,,1048,Schleswig-Holstein
1049,,1049,Bavaria
1050,,1050,Hesse
1051,,1051,Baden-Württemberg
1052,,1052,North Rhine-Westphalia
1053,,1053,Bremen
1054,,1054,Schleswig-Holstein
1055,,1055,Berlin
1056,,1056,Bavaria
1057,,1057,Schleswig-Holstein
1058,,1058,North Rhine-Westphalia
1059,,1059,Hamburg
1060,,1060,North Rhine-Westphalia
1061,,1061,Baden-Württemberg
1062,,1062,Rhineland-Palatinate
1063,,1063,Hamburg
1064,,1064,North Rhine-Westphalia
1065,,1065,Bavaria
1066,,1066,North Rhine-Westphalia
1067,,1067,Bavaria
1068,,1068,Baden-Württemberg
1069,,1069,Thuringia
1070,,1070,Lower-Saxony
1071,,1071,Schleswig-Holstein
1072,,1072,North Rhine-Westphalia
1073,,1073,North Rhine-Westphalia
1074,,1074,Saxony
1075,,1075,Berlin
1076,,1076,North Rhine-Westphalia
1077,,1077,North Rhine-Westphalia
1078,,1078,Baden-Württemberg
1079,,1079,Hesse
1080,,1080,Bavaria
1081,,1081,Berlin
1082,,1082,Saxony
1083,,1083,Hesse
1084,,1084,Hesse
1085,,1085,Berlin
1086,,1086,Hesse
1087,,1087,Bremen
1088,,1088,North Rhine-Westphalia
1089,,1089,North Rhine-Westphalia
1090,,1090,Saxony
1091,,1091,Schleswig-Holstein
1092,,1092,Bavaria
1093,,1093,Saxony
1094,,1094,Bavaria
1095,,1095,Thuringia
1096,,1096,North Rhine-Westphalia
1097,,1097,Rhineland-Palatinate
1098,,1098,Saxony
1099,,1099,Schleswig-Holstein
1100,,1100,North Rhine-Westphalia
1101,,1101,Schleswig-Holstein
1102,,1102,Bavaria
1103,,1103,Hesse
1104,,1104,Bavaria
1105,,1105,North Rhine-Westphalia
1106,,1106,Schleswig-Holstein
1107,,1107,Bavaria
1108,,1108,Saxony
1109,,1109,Bavaria
1110,,1110,Berlin
1111,,1111,North Rhine-Westphalia
1112,,1112,North Rhine-Westphalia
1113,,1113,Schleswig-Holstein
1114,,1114,Hamburg
1115,,1115,Hesse
